2025-06-03 07:45:52.525 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-03 07:45:52.573 [main] INFO  top.wxy.GatewayApplication - Starting GatewayApplication using Java 18.0.2.1 with PID 6888 (C:\Users\18361\Desktop\wxy-cloud\group-six\wxy-cloud-gateway\target\classes started by 18361 in C:\Users\18361\Desktop\wxy-cloud\group-six)
2025-06-03 07:45:52.574 [main] INFO  top.wxy.GatewayApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-03 07:45:52.615 [main] INFO  c.a.cloud.nacos.configdata.NacosConfigDataLoader - [Nacos Config] Load config[dataId=common.yaml, group=DEFAULT_GROUP] success
2025-06-03 07:45:52.615 [main] INFO  c.a.cloud.nacos.configdata.NacosConfigDataLoader - [Nacos Config] Load config[dataId=datasource.yaml, group=DEFAULT_GROUP] success
2025-06-03 07:45:53.615 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=2f9e6b2d-9722-3933-8cd7-dbd35b025140
2025-06-03 07:45:55.529 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [After]
2025-06-03 07:45:55.529 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Before]
2025-06-03 07:45:55.529 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Between]
2025-06-03 07:45:55.529 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Cookie]
2025-06-03 07:45:55.529 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Header]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Host]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Method]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Path]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Query]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [ReadBody]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [RemoteAddr]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [XForwardedRemoteAddr]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
2025-06-03 07:45:55.530 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2025-06-03 07:45:55.765 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 19 endpoints beneath base path '/actuator'
2025-06-03 07:45:56.210 [main] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port 8080 (http)
2025-06-03 07:45:56.915 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ans.namespace attribute : null
2025-06-03 07:45:56.915 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from ALIBABA_ALIWARE_NAMESPACE attribute :null
2025-06-03 07:45:56.916 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from namespace attribute :null
2025-06-03 07:45:56.921 [main] INFO  com.alibaba.nacos.client.naming - FailoverDataSource type is class com.alibaba.nacos.client.naming.backups.datasource.DiskFailoverDataSource
2025-06-03 07:45:56.924 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-06-03 07:45:56.924 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-06-03 07:45:57.265 [main] INFO  com.alibaba.nacos.common.remote.client - [RpcClientFactory] create a new rpc client of f3e004f0-cace-4ac4-9c2a-30dada44fb6c
2025-06-03 07:45:57.268 [main] INFO  com.alibaba.nacos.client.naming - Create naming rpc client for uuid->f3e004f0-cace-4ac4-9c2a-30dada44fb6c
2025-06-03 07:45:57.269 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2025-06-03 07:45:57.269 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2025-06-03 07:45:57.269 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2025-06-03 07:45:57.269 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Try to connect to server on start up, server: {serverIp = '121.4.51.19', server main port = 8848}
2025-06-03 07:45:57.269 [main] INFO  c.a.nacos.common.remote.client.grpc.GrpcClient - grpc client connection server:121.4.51.19 ip,serverPort:9848,grpcTslConfig:{"sslProvider":"","enableTls":false,"mutualAuthEnable":false,"trustAll":false}
2025-06-03 07:45:57.430 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Success to connect to server [121.4.51.19:8848] on start up, connectionId = 1748907968410_112.2.253.144_47889
2025-06-03 07:45:57.430 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2025-06-03 07:45:57.430 [com.alibaba.nacos.client.remote.worker.0] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Notify connected event to listeners.
2025-06-03 07:45:57.430 [main] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$437/0x0000000801012ca8
2025-06-03 07:45:57.431 [com.alibaba.nacos.client.remote.worker.0] INFO  com.alibaba.nacos.client.naming - Grpc connection connect
2025-06-03 07:45:57.432 [main] INFO  com.alibaba.nacos.client.naming - [REGISTER-SERVICE] public registering service wxy-cloud-gateway with instance Instance{instanceId='null', ip='10.20.74.2', port=8080, weight=1.0, healthy=true, enabled=true, ephemeral=true, clusterName='DEFAULT', serviceName='null', metadata={management.endpoints.web.base-path=/actuator, IPv6=[2001:0:2851:b9f0:870:2d03:8ffd:23e], preserved.register.source=SPRING_CLOUD}}
2025-06-03 07:45:57.709 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP wxy-cloud-gateway 10.20.74.2:8080 register finished
2025-06-03 07:45:57.809 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - [SUBSCRIBE-SERVICE] service:wxy-cloud-gateway, group:DEFAULT_GROUP, clusters: 
2025-06-03 07:45:57.810 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - [GRPC-SUBSCRIBE] service:wxy-cloud-gateway, group:DEFAULT_GROUP, cluster: 
2025-06-03 07:45:57.810 [boundedElastic-3] INFO  com.alibaba.nacos.client.naming - [SUBSCRIBE-SERVICE] service:wxy-cloud-gateway, group:DEFAULT_GROUP, clusters: 
2025-06-03 07:45:57.810 [boundedElastic-3] INFO  com.alibaba.nacos.client.naming - [GRPC-SUBSCRIBE] service:wxy-cloud-gateway, group:DEFAULT_GROUP, cluster: 
2025-06-03 07:45:57.944 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - init new ips(1) service: DEFAULT_GROUP@@wxy-cloud-gateway -> [{"instanceId":"10.20.74.2#8080#DEFAULT#DEFAULT_GROUP@@wxy-cloud-gateway","ip":"10.20.74.2","port":8080,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-gateway","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 07:45:57.954 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - current ips:(1) service: DEFAULT_GROUP@@wxy-cloud-gateway -> [{"instanceId":"10.20.74.2#8080#DEFAULT#DEFAULT_GROUP@@wxy-cloud-gateway","ip":"10.20.74.2","port":8080,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-gateway","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 07:45:58.089 [main] INFO  c.a.c.n.discovery.NacosDiscoveryHeartBeatPublisher - Start nacos heartBeat task scheduler.
2025-06-03 07:45:58.127 [main] INFO  top.wxy.GatewayApplication - Started GatewayApplication in 12.421 seconds (process running for 13.66)
2025-06-03 07:45:58.135 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - config listener notify warn timeout millis use default 60000 millis 
2025-06-03 07:45:58.135 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - nacos.cache.data.init.snapshot = true 
2025-06-03 07:45:58.136 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-121.4.51.19_8848] [subscribe] datasource.yaml+DEFAULT_GROUP
2025-06-03 07:45:58.137 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-121.4.51.19_8848] [add-listener] ok, tenant=, dataId=datasource.yaml, group=DEFAULT_GROUP, cnt=1
2025-06-03 07:45:58.137 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=datasource.yaml, group=DEFAULT_GROUP
2025-06-03 07:45:58.138 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-121.4.51.19_8848] [subscribe] wxy-cloud-gateway.yaml+DEFAULT_GROUP
2025-06-03 07:45:58.138 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-121.4.51.19_8848] [add-listener] ok, tenant=, dataId=wxy-cloud-gateway.yaml, group=DEFAULT_GROUP, cnt=1
2025-06-03 07:45:58.138 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=wxy-cloud-gateway.yaml, group=DEFAULT_GROUP
2025-06-03 07:45:58.139 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-121.4.51.19_8848] [subscribe] common.yaml+DEFAULT_GROUP
2025-06-03 07:45:58.140 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-121.4.51.19_8848] [add-listener] ok, tenant=, dataId=common.yaml, group=DEFAULT_GROUP, cnt=1
2025-06-03 07:45:58.140 [main] INFO  c.a.cloud.nacos.refresh.NacosContextRefresher - [Nacos Config] Listening config: dataId=common.yaml, group=DEFAULT_GROUP
2025-06-03 07:45:58.315 [nacos-grpc-client-executor-121.4.51.19-0] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Receive server push request, request = NotifySubscriberRequest, requestId = 43
2025-06-03 07:45:58.316 [nacos-grpc-client-executor-121.4.51.19-0] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Ack server push request, request = NotifySubscriberRequest, requestId = 43
2025-06-03 07:47:28.270 [boundedElastic-6] INFO  com.alibaba.nacos.client.naming - [SUBSCRIBE-SERVICE] service:wxy-cloud-admin, group:DEFAULT_GROUP, clusters: 
2025-06-03 07:47:28.270 [boundedElastic-5] INFO  com.alibaba.nacos.client.naming - [SUBSCRIBE-SERVICE] service:wxy-cloud-admin, group:DEFAULT_GROUP, clusters: 
2025-06-03 07:47:28.270 [boundedElastic-6] INFO  com.alibaba.nacos.client.naming - [GRPC-SUBSCRIBE] service:wxy-cloud-admin, group:DEFAULT_GROUP, cluster: 
2025-06-03 07:47:28.270 [boundedElastic-5] INFO  com.alibaba.nacos.client.naming - [GRPC-SUBSCRIBE] service:wxy-cloud-admin, group:DEFAULT_GROUP, cluster: 
2025-06-03 07:47:28.295 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - [SUBSCRIBE-SERVICE] service:wxy-cloud-admin, group:DEFAULT_GROUP, clusters: 
2025-06-03 07:47:28.296 [boundedElastic-4] INFO  com.alibaba.nacos.client.naming - [GRPC-SUBSCRIBE] service:wxy-cloud-admin, group:DEFAULT_GROUP, cluster: 
2025-06-03 07:47:28.296 [boundedElastic-6] INFO  com.alibaba.nacos.client.naming - init new ips(1) service: DEFAULT_GROUP@@wxy-cloud-admin -> [{"instanceId":"10.20.74.2#8081#DEFAULT#DEFAULT_GROUP@@wxy-cloud-admin","ip":"10.20.74.2","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-admin","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 07:47:28.296 [boundedElastic-6] INFO  com.alibaba.nacos.client.naming - current ips:(1) service: DEFAULT_GROUP@@wxy-cloud-admin -> [{"instanceId":"10.20.74.2#8081#DEFAULT#DEFAULT_GROUP@@wxy-cloud-admin","ip":"10.20.74.2","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-admin","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 07:47:28.874 [nacos-grpc-client-executor-121.4.51.19-71] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Receive server push request, request = NotifySubscriberRequest, requestId = 44
2025-06-03 07:47:28.874 [nacos-grpc-client-executor-121.4.51.19-71] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Ack server push request, request = NotifySubscriberRequest, requestId = 44
2025-06-03 08:50:34.650 [nacos-grpc-client-executor-121.4.51.19-1507] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Receive server push request, request = NotifySubscriberRequest, requestId = 45
2025-06-03 08:50:34.652 [nacos-grpc-client-executor-121.4.51.19-1507] INFO  com.alibaba.nacos.client.naming - removed ips(1) service: DEFAULT_GROUP@@wxy-cloud-admin -> [{"instanceId":"10.20.74.2#8081#DEFAULT#DEFAULT_GROUP@@wxy-cloud-admin","ip":"10.20.74.2","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-admin","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 08:50:34.652 [nacos-grpc-client-executor-121.4.51.19-1507] INFO  com.alibaba.nacos.client.naming - current ips:(0) service: DEFAULT_GROUP@@wxy-cloud-admin -> []
2025-06-03 08:50:34.655 [nacos-grpc-client-executor-121.4.51.19-1507] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Ack server push request, request = NotifySubscriberRequest, requestId = 45
2025-06-03 08:51:29.922 [nacos-grpc-client-executor-121.4.51.19-1527] INFO  com.alibaba.nacos.common.remote.client - [f3e004f0-cace-4ac4-9c2a-30dada44fb6c] Receive server push request, request = NotifySubscriberRequest, requestId = 46
2025-06-03 08:51:29.922 [nacos-grpc-client-executor-121.4.51.19-1527] INFO  com.alibaba.nacos.client.naming - new ips(1) service: DEFAULT_GROUP@@wxy-cloud-admin -> [{"instanceId":"10.20.74.2#8081#DEFAULT#DEFAULT_GROUP@@wxy-cloud-admin","ip":"10.20.74.2","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-admin","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
2025-06-03 08:51:29.922 [nacos-grpc-client-executor-121.4.51.19-1527] INFO  com.alibaba.nacos.client.naming - current ips:(1) service: DEFAULT_GROUP@@wxy-cloud-admin -> [{"instanceId":"10.20.74.2#8081#DEFAULT#DEFAULT_GROUP@@wxy-cloud-admin","ip":"10.20.74.2","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@wxy-cloud-admin","metadata":{"management.endpoints.web.base-path":"/actuator","preserved.register.source":"SPRING_CLOUD","IPv6":"[2001:0:2851:b9f0:870:2d03:8ffd:23e]"},"ipDeleteTimeout":30000,"instanceHeartBeatTimeOut":15000,"instanceHeartBeatInterval":5000}]
